# ##########
# BASE FORMS FOR NOUN GENERATION
# ##########

# EACH NOUN ON A SEPARATE LINE
# PATTERN: GENDER, RAD_SG, POSS_SG, RAD_PL, POSS_PL

#A/À
masc, àite, àite, àiteachan, àiteachan
fem, aiste, aiste, aistean, aistean
masc, àm, ama, amannan, amannan

#B
masc, balach, balaich, balaich, balach
fem, billeag, billeig, billeagan, billeagan
masc, baile, baile, bailtean, bailtean
fem, bùth, bùtha, bùithean, bùithean
masc, bhana, bhana, bhanaichean, bhanaichean
masc, boireannach, boireannaich, boireannaich, boireannach

#C
masc, cat, cait, cait, cat
fem, coille, coille, coilltean, coilltean
fem, cailleach, caillich, cailleachan, cailleachan
#NOT SURE ABOUT "MUSICS" :) BUTH THE SOURCE HAS TO HAVE 4 FORMS
masc, ceòl, ciùil, ceòlan, ceòlan

#D
masc, doras, dorais, dorsan, dorsan
fem, druim, droma, dromannan, dromannan
masc, duine, duine, daoine, daoine

#E/È
masc, euslainteach, euslaintich, euslaintich, euslainteach
fem, eaglais, eaglaise, eaglaisean, eaglaisean
fem, èiginn, èiginne, èiginnean, èiginnean

#F
masc, facal, facail, faclan, faclan
fem, feachd, feachd, feachdan, feachdan
fem, fuil, fala, fuiltean, fuiltean
masc, fear, fir, fir, fear

#G
fem, glùn, glùine, glùintean, glùintean
masc, gleann, glinne, gleanntan, gleanntan

#I/Ì
masc, iasgair, iasgair, iasgairean, iasgairean
fem, iris, irise, irisean, irisean
fem, ìocshlaint, ìocshlainte, ìocshlaintean, ìocshlaintean
fem, ìomhaigh, ìomhaigh, ìomhaighean, ìomhaighean

#L
masc, leabhar, leabhair, leabhraichean, leabhraichean
fem, làmh, làimh, làmhan, làmhan

#M
masc, mìlsean, mìlsein, mìlseanan, mìlseanan
fem, muc, muice, mucan, mucan

#N
masc, nàmhaid, nàmhad, nàimhdean, nàimhdean
fem, nathair, nathrach, nathraichean, nathraichean

#O/Ò
fem, obair, obrach, obraichean, obraichean 
masc, òran, òrain, òrain, òran
masc, oileanach, oileanaich, oileanaich, oileanach

#P
masc, piseach, pisich, pisich, piseach
fem, piseag, piseige, piseagan, piseagan

#R
masc, rathad, rathaid, rathaidean, rathaidean
fem, ràith, ràithe, ràithean, ràithean
fem, reòiteag, reòiteige, reòiteagan, reòiteagan

#S/SP/ST/SG
masc, solas, solais, solasan, solasan
masc, sagart, sagairt, sagartan, sagartan
fem, sràid, sràide, sràidean, sràidean
masc, sporan, sporain, sporanan, sporanan
masc, stac, staca, stacan, stacan
masc, sgoltadh, sgoltaidh, sgoltaidhean, sgoltaidhean
fem, spàin, spàine, spàinean, spàinean
fem, stairsneach, stairsnich, stairsnich, stairsnichean
fem, sgoil, sgoile, sgoiltean, sgoiltean


#T
masc, tùs, tuis, tùsan, tùsan
fem, teirm, teirm, teirmichean, teirmichean
fem, tràigh, tràghad, tràighean, tràighean

#U/Ù
fem, uair, uarach, uairean, uairean
masc, ubhal, ubhail, ubhlan, ubhlan
masc, ùghdar, ùghdair, ùghdaran, ùghdaran
